,ID_movie,title,actor
0,0,12 Years a Slave,Chiwetel Ejiofor
0,0,12 Years a Slave,Michael K. Williams
0,0,12 Years a Slave,Michael Fassbender
1,1,2 Guns,Denzel Washington
1,1,2 Guns,Mark Wahlberg
1,1,2 Guns,Paula Patton
2,2,42,Chadwick Boseman
2,2,42,T.R. Knight
2,2,42,Harrison Ford
3,3,About Time,Domhnall Gleeson
3,3,About Time,Rachel McAdams
3,3,About Time,Bill Nighy
4,4,Adore,Naomi Watts
4,4,Adore,Robin Wright
4,4,Adore,Xavier Samuel
5,5,After Earth,Jaden Smith
5,5,After Earth,David Denman
5,5,After Earth,Will Smith
6,6,American Hustle,Christian Bale
6,6,American Hustle,Amy Adams
6,6,American Hustle,Bradley Cooper
7,7,Anchorman 2: The Legend Continues,Will Ferrell
7,7,Anchorman 2: The Legend Continues,Christina Applegate
7,7,Anchorman 2: The Legend Continues,Paul Rudd
8,8,Austenland,Keri Russell
8,8,Austenland,JJ Feild
8,8,Austenland,Jennifer Coolidge
9,9,Bad Grandpa,Johnny Knoxville
9,9,Bad Grandpa,Jackson Nicoll
9,9,Bad Grandpa,Spike Jonze
10,10,Baggage Claim,Paula Patton
10,10,Baggage Claim,Taye Diggs
10,10,Baggage Claim,Jill Scott
11,11,Battle of the Year,Josh Holloway
11,11,Battle of the Year,Laz Alonso
11,11,Battle of the Year,Josh Peck
12,12,Behind the Candelabra,Matt Damon
12,12,Behind the Candelabra,Scott Bakula
12,12,Behind the Candelabra,Eric Zuckerman
13,13,Big Sur,Stana Katic
13,13,Big Sur,Radha Mitchell
13,13,Big Sur,Kate Bosworth
14,14,Blue Jasmine,Cate Blanchett
14,14,Blue Jasmine,Alec Baldwin
14,14,Blue Jasmine,Peter Sarsgaard
15,15,C.O.G.,Jonathan Groff
15,15,C.O.G.,Denis O'Hare
15,15,C.O.G.,Corey Stoll
16,16,CBGB,Malin Akerman
16,16,CBGB,Stana Katic
16,16,CBGB,Johnny Galecki
17,17,Captain Phillips,Tom Hanks
17,17,Captain Phillips,Barkhad Abdi
17,17,Captain Phillips,Barkhad Abdirahman
18,18,Carrie,Chloe Grace Moretz
18,18,Carrie,Julianne Moore
18,18,Carrie,Judy Greer
19,19,Cloudy with a Chance of Meatballs 2,Bill Hader
19,19,Cloudy with a Chance of Meatballs 2,Anna Faris
19,19,Cloudy with a Chance of Meatballs 2,Will Forte
20,20,Curse of Chucky,Chantal Quesnelle
20,20,Curse of Chucky,Fiona Dourif
20,20,Curse of Chucky,Danielle Bisutti
21,21,Despicable Me 2,Steve Carell
21,21,Despicable Me 2,Kristen Wiig
21,21,Despicable Me 2,Benjamin Bratt
22,22,Dom Hemingway,Jude Law
22,22,Dom Hemingway,Richard E. Grant
22,22,Dom Hemingway,Demian Bichir
23,23,Elysium,Matt Damon
23,23,Elysium,Jodie Foster
23,23,Elysium,Sharlto Copley
24,24,Empire State,Liam Hemsworth
24,24,Empire State,Michael Angarano
24,24,Empire State,Dwayne Johnson
25,25,Ender's Game,Harrison Ford
25,25,Ender's Game,Asa Butterfield
25,25,Ender's Game,Hailee Steinfeld
26,26,Enough Said,Julia Louis-Dreyfus
26,26,Enough Said,James Gandolfini
26,26,Enough Said,Catherine Keener
27,27,Epic,Amanda Seyfried
27,27,Epic,Josh Hutcherson
27,27,Epic,Beyonce Knowles
28,28,Escape Plan,Sylvester Stallone
28,28,Escape Plan,Arnold Schwarzenegger
28,28,Escape Plan,50 Cent
29,29,Escape from Tomorrow,Roy Abramsohn
29,29,Escape from Tomorrow,Elena Schuber
29,29,Escape from Tomorrow,Katelynn Rodriguez
30,30,Evil Dead,Jane Levy
30,30,Evil Dead,Shiloh Fernandez
30,30,Evil Dead,Jessica Lucas
31,31,Filth,James McAvoy
31,31,Filth,Imogen Poots
31,31,Filth,Iain De Caestecker
32,32,Frozen,Kristen Bell
32,32,Frozen,Josh Gad
32,32,Frozen,Idina Menzel
33,33,Furious 6,Vin Diesel
33,33,Furious 6,Paul Walker
33,33,Furious 6,Dwayne Johnson
34,34,G.I. Joe: Retaliation,Dwayne Johnson
34,34,G.I. Joe: Retaliation,Channing Tatum
34,34,G.I. Joe: Retaliation,Adrianne Palicki
35,35,Gangster Squad,Sean Penn
35,35,Gangster Squad,Ryan Gosling
35,35,Gangster Squad,Emma Stone
36,36,Generation Iron,Arnold Schwarzenegger
36,36,Generation Iron,Mickey Rourke
36,36,Generation Iron,Michael Jai White
37,37,Ghost Team One,Carlos Santos
37,37,Ghost Team One,J.R. Villarreal
37,37,Ghost Team One,Tony Cavalero
38,38,Gravity,Sandra Bullock
38,38,Gravity,George Clooney
38,38,Gravity,Ed Harris
39,39,Grown Ups 2,Adam Sandler
39,39,Grown Ups 2,Kevin James
39,39,Grown Ups 2,Chris Rock
40,40,Hansel & Gretel: Witch Hunters,Jeremy Renner
40,40,Hansel & Gretel: Witch Hunters,Gemma Arterton
40,40,Hansel & Gretel: Witch Hunters,Peter Stormare
41,41,Homefront,James Franco
41,41,Homefront,Jason Statham
41,41,Homefront,Rachelle Lefevre
42,42,Hummingbird,Jason Statham
42,42,Hummingbird,Agata Buzek
42,42,Hummingbird,Vicky McClure
43,43,I Spit on Your Grave 2,Jemma Dallender
43,43,I Spit on Your Grave 2,Yavor Baharov
43,43,I Spit on Your Grave 2,Joe Absolom
44,44,Insidious: Chapter 2,Patrick Wilson
44,44,Insidious: Chapter 2,Rose Byrne
44,44,Insidious: Chapter 2,Barbara Hershey
45,45,Iron Man 3,Robert Downey Jr.
45,45,Iron Man 3,Guy Pearce
45,45,Iron Man 3,Gwyneth Paltrow
46,46,Kill Your Darlings,Michael C. Hall
46,46,Kill Your Darlings,Elizabeth Olsen
46,46,Kill Your Darlings,Daniel Radcliffe
47,47,Lone Survivor,Mark Wahlberg
47,47,Lone Survivor,Ben Foster
47,47,Lone Survivor,Eric Bana
48,48,Machete Kills,Danny Trejo
48,48,Machete Kills,Alexa Vega
48,48,Machete Kills,Mel Gibson
49,49,Man of Steel,Henry Cavill
49,49,Man of Steel,Amy Adams
49,49,Man of Steel,Michael Shannon
50,50,Metallica Through the Never,Dane DeHaan
50,50,Metallica Through the Never,James Hetfield
50,50,Metallica Through the Never,Lars Ulrich
51,51,Monsters University,Billy Crystal
51,51,Monsters University,John Goodman
51,51,Monsters University,Steve Buscemi
52,52,Movie 43,Emma Stone
52,52,Movie 43,Stephen Merchant
52,52,Movie 43,Richard Gere
53,53,Nebraska,Bruce Dern
53,53,Nebraska,Will Forte
53,53,Nebraska,June Squibb
54,54,No se Aceptan Devoluciones,Eugenio Derbez
54,54,No se Aceptan Devoluciones,Karla Souza
54,54,No se Aceptan Devoluciones,Jessica Lindsey
55,55,Now You See Me,Jesse Eisenberg
55,55,Now You See Me,Common
55,55,Now You See Me,Mark Ruffalo
56,56,Oblivion,Tom Cruise
56,56,Oblivion,Morgan Freeman
56,56,Oblivion,Andrea Riseborough
57,57,Oldboy,Josh Brolin
57,57,Oldboy,Elizabeth Olsen
57,57,Oldboy,Samuel L. Jackson
58,58,Olympus Has Fallen,Gerard Butler
58,58,Olympus Has Fallen,Aaron Eckhart
58,58,Olympus Has Fallen,Morgan Freeman
59,59,One Chance,James Corden
59,59,One Chance,Colm Meaney
59,59,One Chance,Mackenzie Crook
60,60,One Direction: This Is Us,Liam Payne
60,60,One Direction: This Is Us,Harry Styles
60,60,One Direction: This Is Us,Zayn Malik
61,61,Only God Forgives,Ryan Gosling
61,61,Only God Forgives,Kristin Scott Thomas
61,61,Only God Forgives,Vithaya Pansringarm
62,62,Oz the Great and Powerful,James Franco
62,62,Oz the Great and Powerful,Michelle Williams
62,62,Oz the Great and Powerful,Rachel Weisz
63,63,Pacific Rim,Idris Elba
63,63,Pacific Rim,Charlie Hunnam
63,63,Pacific Rim,Rinko Kikuchi
64,64,Pain & Gain,Mark Wahlberg
64,64,Pain & Gain,Dwayne Johnson
64,64,Pain & Gain,Anthony Mackie
65,65,Paranoia,Liam Hemsworth
65,65,Paranoia,Gary Oldman
65,65,Paranoia,Harrison Ford
66,66,Parkland,Zac Efron
66,66,Parkland,Tom Welling
66,66,Parkland,Billy Bob Thornton
67,67,Percy Jackson: Sea of Monsters,Logan Lerman
67,67,Percy Jackson: Sea of Monsters,Alexandra Daddario
67,67,Percy Jackson: Sea of Monsters,Brandon T. Jackson
68,68,Planes,Carlos Alazraqui
68,68,Planes,Dane Cook
68,68,Planes,Stacy Keach
69,69,Prisoners,Hugh Jackman
69,69,Prisoners,Jake Gyllenhaal
69,69,Prisoners,Viola Davis
70,70,R.I.P.D.,Ryan Reynolds
70,70,R.I.P.D.,Jeff Bridges
70,70,R.I.P.D.,Mary-Louise Parker
71,71,Red 2,Bruce Willis
71,71,Red 2,Helen Mirren
71,71,Red 2,John Malkovich
72,72,Riddick,Vin Diesel
72,72,Riddick,Karl Urban
72,72,Riddick,Katee Sackhoff
73,73,Romeo and Juliet,Hailee Steinfeld
73,73,Romeo and Juliet,Douglas Booth
73,73,Romeo and Juliet,Damian Lewis
74,74,Runner Runner,Ben Affleck
74,74,Runner Runner,Justin Timberlake
74,74,Runner Runner,Gemma Arterton
75,75,Rush,Daniel Bruhl
75,75,Rush,Chris Hemsworth
75,75,Rush,Olivia Wilde
76,76,Safe Haven,Julianne Hough
76,76,Safe Haven,Josh Duhamel
76,76,Safe Haven,Cobie Smulders
77,77,Scenic Route,Josh Duhamel
77,77,Scenic Route,Dan Fogler
77,77,Scenic Route,Miracle Laurie
78,78,Side Effects,Rooney Mara
78,78,Side Effects,Channing Tatum
78,78,Side Effects,Jude Law
79,79,Star Trek Into Darkness,Chris Pine
79,79,Star Trek Into Darkness,Zachary Quinto
79,79,Star Trek Into Darkness,Zoe Saldana
80,80,Stoker,Mia Wasikowska
80,80,Stoker,Nicole Kidman
80,80,Stoker,Matthew Goode
81,81,The Bling Ring,Katie Chang
81,81,The Bling Ring,Israel Broussard
81,81,The Bling Ring,Emma Watson
82,82,The Butler,Forest Whitaker
82,82,The Butler,Oprah Winfrey
82,82,The Butler,John Cusack
83,83,The Call,Halle Berry
83,83,The Call,Evie Thompson
83,83,The Call,Abigail Breslin
84,84,The Colony,Kevin Zegers
84,84,The Colony,Laurence Fishburne
84,84,The Colony,Bill Paxton
85,85,The Conjuring,Patrick Wilson
85,85,The Conjuring,Vera Farmiga
85,85,The Conjuring,Ron Livingston
86,86,The Counselor,Brad Pitt
86,86,The Counselor,Goran Visnjic
86,86,The Counselor,Michael Fassbender
87,87,The Croods,Nicolas Cage
87,87,The Croods,Ryan Reynolds
87,87,The Croods,Emma Stone
88,88,The East,Brit Marling
88,88,The East,Alexander Skarsgard
88,88,The East,Ellen Page
89,89,The Family,Robert De Niro
89,89,The Family,Michelle Pfeiffer
89,89,The Family,Dianna Agron
90,90,The Fifth Estate,Benedict Cumberbatch
90,90,The Fifth Estate,Daniel Bruhl
90,90,The Fifth Estate,Carice van Houten
91,91,The Frozen Ground,Nicolas Cage
91,91,The Frozen Ground,Vanessa Hudgens
91,91,The Frozen Ground,John Cusack
92,92,The Great Gatsby,Leonardo DiCaprio
92,92,The Great Gatsby,Carey Mulligan
92,92,The Great Gatsby,Joel Edgerton
93,93,The Hangover Part III,Bradley Cooper
93,93,The Hangover Part III,Zach Galifianakis
93,93,The Hangover Part III,Ed Helms
94,94,The Heat,Sandra Bullock
94,94,The Heat,Michael McDonald
94,94,The Heat,Melissa McCarthy
95,95,The Hobbit: The Desolation of Smaug,Martin Freeman
95,95,The Hobbit: The Desolation of Smaug,Ian McKellen
95,95,The Hobbit: The Desolation of Smaug,Richard Armitage
96,96,The Host,Saoirse Ronan
96,96,The Host,Max Irons
96,96,The Host,Jake Abel
97,97,The Hunger Games: Catching Fire,Jennifer Lawrence
97,97,The Hunger Games: Catching Fire,Josh Hutcherson
97,97,The Hunger Games: Catching Fire,Liam Hemsworth
98,98,The Internship,Vince Vaughn
98,98,The Internship,Owen Wilson
98,98,The Internship,Rose Byrne
99,99,The Kings of Summer,Nick Robinson
99,99,The Kings of Summer,Gabriel Basso
99,99,The Kings of Summer,Moises Arias
100,100,The Last Days on Mars,Liev Schreiber
100,100,The Last Days on Mars,Romola Garai
100,100,The Last Days on Mars,Elias Koteas
101,101,The Lone Ranger,Johnny Depp
101,101,The Lone Ranger,Armie Hammer
101,101,The Lone Ranger,William Fichtner
102,102,The Mortal Instruments: City of Bones,Lily Collins
102,102,The Mortal Instruments: City of Bones,Jamie Campbell Bower
102,102,The Mortal Instruments: City of Bones,Robert Sheehan
103,103,The Purge,Ethan Hawke
103,103,The Purge,Lena Headey
103,103,The Purge,Max Burkholder
104,104,The Smurfs 2,Neil Patrick Harris
104,104,The Smurfs 2,Jayma Mays
104,104,The Smurfs 2,Katy Perry
105,105,The Spectacular Now,Miles Teller
105,105,The Spectacular Now,Shailene Woodley
105,105,The Spectacular Now,Kyle Chandler
106,106,The Way Way Back,Steve Carell
106,106,The Way Way Back,Toni Collette
106,106,The Way Way Back,Allison Janney
107,107,The Wolf of Wall Street,Leonardo DiCaprio
107,107,The Wolf of Wall Street,P.J. Byrne
107,107,The Wolf of Wall Street,Jon Favreau
108,108,The Wolverine,Hugh Jackman
108,108,The Wolverine,Will Yun Lee
108,108,The Wolverine,Tao Okamoto
109,109,The World's End,Simon Pegg
109,109,The World's End,Nick Frost
109,109,The World's End,Martin Freeman
110,110,This Is the End,James Franco
110,110,This Is the End,Jonah Hill
110,110,This Is the End,Seth Rogen
111,111,Thor: The Dark World,Chris Hemsworth
111,111,Thor: The Dark World,Natalie Portman
111,111,Thor: The Dark World,Tom Hiddleston
112,112,Trance,James McAvoy
112,112,Trance,Rosario Dawson
112,112,Trance,Vincent Cassel
113,113,Turbo,Ryan Reynolds
113,113,Turbo,Paul Giamatti
113,113,Turbo,Maya Rudolph
114,114,V/H/S/2,Lawrence Michael Levine
114,114,V/H/S/2,Kelsy Abbott
114,114,V/H/S/2,Adam Wingard
115,115,Warm Bodies,Nicholas Hoult
115,115,Warm Bodies,Teresa Palmer
115,115,Warm Bodies,John Malkovich
116,116,We Are What We Are,Bill Sage
116,116,We Are What We Are,Ambyr Childers
116,116,We Are What We Are,Julia Garner
117,117,We're the Millers,Jason Sudeikis
117,117,We're the Millers,Jennifer Aniston
117,117,We're the Millers,Emma Roberts
118,118,White House Down,Channing Tatum
118,118,White House Down,Jamie Foxx
118,118,White House Down,Maggie Gyllenhaal
119,119,World War Z,Brad Pitt
119,119,World War Z,Mireille Enos
119,119,World War Z,Daniella Kertesz
120,120,Zero Charisma,Sam Eidson
120,120,Zero Charisma,Anne Gee Byrd
120,120,Zero Charisma,Brock England
121,121,jOBS,Ashton Kutcher
121,121,jOBS,Dermot Mulroney
121,121,jOBS,Josh Gad
